271374667/VideoFusion  9ba7b8
hngprojects/hng_boilerplate_python_fastapi_web  bc9740 
hpcaitech/Open-Sora  38de63 
hpcaitech/SwiftInfer  239fd3 
hrnoh24/stream-vc  faa629 
huchenlei/ComfyUI_omost  7ef00d 
huggingface/lerobot  4c41f6 
huggingface/lighteval  6ad727 
HZAI-ZJNU/Mamba-YOLO  ea97fc 
IAAR-Shanghai/Grimoire  3fe89d 
ib-api-reloaded/ib_async  38cf54 
IBM/fastfit  396611 
IBM/terratorch  16e5af 
IEIT-Yuan/Yuan2.0-M32  b403a2 
igorbenav/SQLModel-boilerplate  2ead04 
igorbenav/fastcrud  dc831b 
igrek51/wat  0d6079 
illuin-tech/colpali  e45c4c 
illuin-tech/vidore-benchmark  469665 
Indoxer/LKAN  16c48e 
Infini-AI-Lab/Sequoia  688079 
instanseg/instanseg  0df8b2 
instructlab/instructlab  c978b2 
Integuru-AI/Integuru  928e82 
InternLM/InternEvo  5ad2eb 
invariantlabs-ai/invariant  81547a 
IST-DASLab/PanzaMail  b1807c 
iterative/datachain  b67d59 
IvanDrokin/torch-conv-kan  7a0e83 
jahwag/ClaudeSync  000633 
jgravelle/pocketgroq  e995c4 
jhj0517/AdvancedLivePortrait-WebUI  a7975c 
jialuechen/deepfolio  15d247 
jina-ai/late-chunking  db558c 
jlowin/fastmcp  baa300 
jmschrei/tangermeme  a96897 
jonbarron/camp_zipnerf  8e6d57 
JosephBARBIERDARNAL/pypalettes  826930 
JoshuaC215/agent-service-toolkit  c72f48 
jshuadvd/LongRoPE  eb9aba 
jxnl/n-levels-of-rag  2ce110 
karpathy/minbpe  1acefe 
kennethreitz/simplemind  39b5a5 
kevinzakka/mink  cf1a30 
knowsuchagency/promptic  a1930c 
koaning/uvtrick  2d7f27 
kohjingyu/search-agents  7c35ac 
KOSASIH/pi-nexus-autonomous-banking-network  7fcff4 
kotaro-kinoshita/yomitoku  71c85b 
KruxAI/ragbuilder  db3d3d 
kujirahand/tkeasygui-python  b1f293 
KyanChen/RSMamba  3fa305 
kyegomez/MultiModalMamba  58db40 
landing-ai/vision-agent  63eab8 
langchain-ai/langchain-postgres  064e5b 
lavague-ai/LaVague  b3557f 
LazyAGI/LazyLLM  e0dd38 
lenML/Speech-AI-Forge  0b31b2 
leopiney/neuralnoise  c0313f 
lichao-sun/Mora  7a030e 
Lightning-AI/litdata  0a97de 
lightonai/pylate  8de184 
LilianHollard/LeYOLO  872841 
line/lighthouse  ba9da7 
LlmKira/fast-langdetect  5728ba 
LMCache/LMCache  7d3443 
lmstudio-ai/mlx-engine  daeb7a 
lmstudio-ai/venvstacks  235ce3 
lucasdelimanogueira/PyNorch  ed391e 
LucasFaudman/apkscan  3b3e62 
lucidrains/alphafold3-pytorch  49f7c9 
lucidrains/infini-transformer-pytorch  5774bb 
lucidrains/pi-zero-pytorch  8ad66f 
lucidrains/transfusion-pytorch  16f73e 
lucidrains/titok-pytorch  2f9525 
MadcowD/ell  36ca5e 
ManiMozaffar/aioclock  3d196b 
MaoXiaoYuZ/Long-Novel-GPT  e952ac 
Marker-Inc-Korea/AutoRAG  aa0bfb 
martius-lab/hitchhiking-rotations  45b49f 
mbodiai/embodied-agents  8715f6 
McGill-NLP/weblinx  6f2014 
McGill-NLP/webllama  696a7c 
Menghuan1918/pdfdeal  e08199 
meta-llama/llama-stack-apps  f14a73 
MetaGLM/zhipuai-sdk-python-v4  7ff4de 
metavoiceio/metavoice-src  de3fa2 
microsoft/MInference  7a3e5a 
microsoft/TinyTroupe  9b8d4e 
microsoft/aurora  8b1165 
microsoft/Trace  826cf5 
microsoft/graphrag  de1252 
microsoft/semantic-link-labs  8e37ef 
mikekelly/AgentK  e9ec89 
Mindinventory/MindSQL  3d0ff0 
MinishLab/model2vec  4e3fba 
miquido/draive  270f0c 
mistralai/mistral-common  5cac5e 
mistralai/mistral-finetune  656df1 
mixedbread-ai/baguetter  a6e915 
mixedbread-ai/batched  1a1797 
mkjt2/lockbox  58430d 
mlecauchois/micrograd-cuda  ab1ca0 
MLT-OSS/open-assistant-api  44eeaf 
mlx-graphs/mlx-graphs  4619d9 
mobiusml/gemlite  5ebcca 
ModelCloud/GPTQModel  a5aefc 
modelcontextprotocol/python-sdk  aaf32b 
modelscope/MemoryScope  330b76 
modelscope/agentscope  ceaf89 
modern-python/that-depends  65e656 
muchdogesec/history4feed  614182 
muditbhargava66/PyxLSTM  f3c9bb 
narwhals-dev/narwhals  a2088f 
nasa-jpl/rosa  5471dc 
neo4j/neo4j-graphrag-python  0ac06b 
neuralmagic/AutoFP8  e94461 
neuralmagic/guidellm  ecf298 
NewT123-WM/tnlearn  50ee75 
NexaAI/nexa-sdk  33f6ba 
nicobrenner/commandjobs  4c7264 
Nike-Inc/koheesio  9bd29e 
nlmatics/nlm-ingestor  c72542 
NLPJCL/RAG-Retrieval  d73057 
nomic-ai/contrastors  496a05 
NousResearch/finetuning-subnet  e2f5eb 
NUS-HPC-AI-Lab/VideoSys  6c92ae 
NVIDIA/Megatron-Energon  28aa3b 
NVIDIA/NeMo-Skills  5591f3 
NVIDIA/kvpress  715f8a 
NVIDIA/logits-processor-zoo  db179a 
NVIDIA/nv-ingest  eec9fa 
NVlabs/Sana  41dcbe 
NVlabs/VILA  ec7fb2 
NVlabs/nvTorchCam  cc27be 
ogkalu2/comic-translate  1933d1 
Open-Wine-Components/umu-launcher  b0c0d4 
openai/mle-bench  51ec2b 
openai/swarm  9db581 
openfoundry-ai/model_manager  34f9ff 
opendatalab/MinerU  391a99 
opengeos/HyperCoast  c1604c 
OpenInterpreter/aifs  3f74c6 
OpenNLPLab/lightning-attention  d74395 
openpsi-project/ReaLHF  62d9cd 
openrecall/openrecall  225a27 
OpenSPG/KAG  68b2c6 
orbital-materials/orb-models  251573 
outspeed-ai/outspeed  049b40 
OwlAIProject/Owl  919226 
PacktPublishing/LLM-Engineers-Handbook  ec6717 
paradigmxyz/spice  e962a9 
patched-codes/patchwork  c9b02b 
paulrobello/parllama  365d20 
PeiJieSun/NESCL  421238 
plinder-org/plinder  9658cc 
pomonam/kronfluence  884255 
PrefectHQ/ControlFlow  f259fa 
PrimeIntellect-ai/OpenDiloco  71f5c2 
PrimeIntellect-ai/prime  a974cf 
princeton-nlp/SWE-agent  8b3571 
proger/accelerated-scan  db7145 
pydantic/logfire  3d7924 
pymupdf/RAG  b25718 
pytorch-labs/LeanRL  a416e6 
RapidAI/RapidDoc  5e5fef 
raphaelmansuy/code2prompt  3b377b 
RapidAI/RapidLayout  8e9677 
reagento/dishka  2ed985 
real-stanford/universal_manipulation_interface  298776 
Realiserad/fish-ai  f32c7f 
RealOrangeOne/django-tasks  e6d26c 
reidjs/text-scheduler  8bb7d6 
reka-ai/reka-vibe-eval  93ecd9 
remigenet/TKAN  8a1de0 
rio-labs/rio  eda40a 
robocasa/robocasa  27f992 
RobotecAI/rai  d15910 
robusta-dev/holmesgpt  c4743a 
royreznik/rexi  f1dca8 
run-llama/llama_deploy  47efff 
run-llama/llama_extract  89438f 
run-llama/llama_parse  f78186 
SamKhoze/ComfyUI-DeepFuze  edd7fe 
ScrapeGraphAI/Scrapegraph-ai  bae92b 
seanchatmangpt/dspygen  69f305 
serverless-ca/terraform-aws-ca  2da837 
ServerlessLLM/ServerlessLLM  8f1e6b 
ServiceNow/BrowserGym  12aa5e 
ServiceNow/TapeAgents  3eca5c 
ServiceNow/WorkArena  0ab9cb 
ShaShekhar/aaiela  4e8d6a 
shawntan/scattermoe  63b76a 
ShoggothAI/motleycrew  19837e 
showlab/computer_use_ootb  419d9d 
shun-liang/yt2doc  201ec2 
siliconflow/BizyAir  cdb3bb 
simonw/files-to-prompt  f9a4d8 
simonw/llm-claude-3  c62bf2 
simonw/llm-cmd  74fb98 
simonw/llm-jq  beaada 
simular-ai/Agent-S  ca83be 
sirocco-ventures/raggenie  99dfe5 
souzatharsis/podcastfy  804a61 
SpecterOps/cred1py  432f91 
StacklokLabs/promptwright  42f69b 
steinathan/reelsmaker  75369c 
stephengpope/no-code-architects-toolkit  ffc1a8 
StonyBrookNLP/appworld  bc9c47 
Storia-AI/sage  f47fa4 
superlinear-ai/raglite  b02c5a 
swarmzero/swarmzero  6fcd7a 
tahnok/colmi_r02_client  84d3a6 
taketwo/llm-ollama  dd616e 
taobojlen/django-zeal  232987 
TencentARC/BrushNet  101dc3 
TheAiSingularity/graphrag-local-ollama  bcb98d 
thousandbrainsproject/tbp.monty  a39a26 
THU-MIG/yolov10  6fbaf4 
thu-nics/MoA  da034c 
tjmlabs/AgentRun  1997dd 
tobiasfshr/map4d  0b8bcd 
Toloka/dbt-af  e7f436 
TorchJD/torchjd  1eaafe 
tox-dev/tox-uv  d7405a 
TuragaLab/flybody  2e1088 
turbo-llm/turbo-alignment  009574 
TY-Cheng/torchvinecopulib  c3a477 
ucbepic/docetl  00a761 
ultrasev/llmproxy  1a1100 
uname-n/deltabase  5eafb9 
unifyai/unify  ea2088 
Vashkatsi/deply  6d6875 
VideoVerses/VideoTuna  ffc6df 
vintasoftware/django-ai-assistant  5b26c7 
virattt/financial-datasets  985664 
vllm-project/llm-compressor  606aab 
volcengine/verl  ed2eaf 
volfpeter/fasthx  e850b9 
volfpeter/htmy  0322a3 
vysakh0/dravid  25b03b 
warmshao/FasterLivePortrait  6aa810 
weareprestatech/hotpdf  55ab97 
web-arena-x/visualwebarena  89f5af 
Weixiang-Sun/Bora  c08bb6 
whyhow-ai/knowledge-graph-studio  c41043 
whyhow-ai/rule-based-retrieval  91701f 
whyhow-ai/whyhow  63a3c6 
WongKinYiu/YOLO  b96c8e 
WU-CVGL/BAD-Gaussians  bdd8b3 
wy-z/container-vm  07d402 
xdit-project/xDiT  a7bd51 
xhluca/bm25s  c4fef2 
yihong0618/klingCreator  e567c6 
yihong1120/Construction-Hazard-Detection  f5e1ca 
yinjunbo/IS-Fusion  86c882 
YUCHEN005/GenTranslate  62e59d 
YUCHEN005/RobustGER  ad4e37 
yurujaja/pangaea-bench  e1d12e 
ZenGuard-AI/fast-llm-security-guardrails  6a867c 
zeroasiccorp/logik  ca4bb1 
zhuqinfeng1999/Samba  229687 
zipnn/zipnn  007319 
zou-group/textgrad  b2dc68 
